asn,handle,description
487,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
488,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
489,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
490,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
491,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
492,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
493,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
494,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
495,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
496,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
497,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
498,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
499,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
500,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
501,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
502,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
503,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
504,AFCONC-BLOCK1-AS,"Air Force Systems Networking"
